Water Control Zone,Station,Dates,Sample No,Depth,Total Inorganic Nitrogen (mg/L),Volatile Suspended Solids (mg/L),Unionised Ammonia (mg/L),Turbidity (NTU),Total Phosphorus (mg/L),Total Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Temperature (°C),Suspended Solids (mg/L),Silica (mg/L),Secchi Disc Depth (M),Salinity (psu),Phaeo-pigments (μg/L),pH,Orthophosphate Phosphorus (mg/L),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Faecal Coliforms (cfu/100mL),E. coli (cfu/100mL),Dissolved Oxygen (mg/L),Dissolved Oxygen (%saturation),Chlorophyll-a (μg/L),Ammonia Nitrogen (mg/L),5-day Biochemical Oxygen Demand (mg/L)
Southern,SM9,2009/1/14,1,Middle Water,0.19,1,0.002,5.3,0.03,0.4,0.29,16.5,5.6,0.99,2.9,33.2,0.6,8.1,0.02,0.023,0.082,73,52,5.8,72,2.1,0.084,0.5
Southern,SM9,2009/1/14,1,Bottom Water,0.19,1.3,0.002,8.1,0.03,0.39,0.29,16.8,8.7,0.97,2.9,33.1,<0.2,8.1,0.019,0.021,0.083,250,190,5.9,74,2,0.09,0.3
Southern,SM9,2009/2/16,1,Surface Water,0.31,1.4,0.003,3.2,0.03,0.52,0.29,19.8,4.5,0.51,2,31.4,0.9,8,0.014,0.029,0.2,280,160,6.1,81,2.1,0.077,0.4
Southern,SM9,2009/2/16,1,Middle Water,0.3,1.4,0.003,3.1,0.03,0.45,0.23,19.8,4.3,0.53,2,31.4,1,8,0.014,0.028,0.19,170,95,6.3,83,2,0.078,0.7
Southern,SM9,2009/2/16,1,Bottom Water,0.3,1.7,0.003,3.4,0.03,0.47,0.25,19.8,4.6,0.5,2,31.4,1.4,8,0.014,0.028,0.19,150,110,5.6,74,1.8,0.078,0.4
Southern,SM9,2009/3/18,1,Surface Water,0.19,2.2,0.004,10.6,0.04,0.38,0.28,21,5,0.78,0.9,32.9,0.6,8.1,0.014,0.014,0.088,<1,<1,7.1,96,4.7,0.088,1.1
Southern,SM9,2009/3/18,1,Middle Water,0.2,2.1,0.004,11.3,0.04,0.36,0.26,19.9,5.3,0.77,0.9,33,1.4,8.1,0.016,0.015,0.087,4,2,7.1,95,4.1,0.095,0.7
Southern,SM9,2009/3/18,1,Bottom Water,0.2,2.2,0.004,14,0.04,0.34,0.25,19.8,10,0.82,0.9,33.1,1,8.1,0.019,0.013,0.079,10,9,6.5,86,1.3,0.11,0.5
Southern,SM9,2009/4/23,1,Surface Water,0.27,1.5,0.005,3.9,0.04,0.4,0.26,22.6,5.4,0.46,2.1,32.8,1,8,0.019,0.015,0.12,42,18,5.5,76,4.5,0.13,0.8
Southern,SM9,2009/4/23,1,Middle Water,0.26,1.6,0.004,4.1,0.04,0.42,0.28,22.6,5.3,0.46,2.1,32.8,1.1,8,0.019,0.015,0.12,67,36,5.3,74,4.8,0.12,0.9
